"var","sector","Households","Other_Internal","Exports"
"water_input_change","Agriculture, cattle, and others",14.179138655422,6.79062688603552,21.7186309122126
"water_input_change","Other",14.6583775381342,10.1387804606318,9.08162711666421
"water_input_change","Water and Sewage",107.360046472809,19.1554641215604,19.9006965791315
"structural_change","Agriculture, cattle, and others",-16.2823738249993,-9.44061722024702,-17.6284271448766
"structural_change","Other",-0.201111702928938,-0.159308821434725,-0.141972817328681
"structural_change","Water and Sewage",-46.2032078771653,-19.9764374359361,-27.0073971624949
"final_demand_change","Agriculture, cattle, and others",42.4031542845555,38.5996885771404,67.9254990664418
"final_demand_change","Other",2.38695993751425,1.78075187641425,3.0572491903373
"final_demand_change","Water and Sewage",-74.2641902725824,8.66052538680455,14.0967584310419
"delta_X_water_1","Agriculture, cattle, and others",40.2999191149782,35.9496982429289,72.0157028337778
"delta_X_water_1","Other",16.8442257727195,11.7602235156113,11.9969034896728
"delta_X_water_1","Water and Sewage",-13.1073516769387,7.83955207242889,6.9900578476786
